,observed_sp_500_returns,forecast_randomwalk,forecast_engle_granger,lower_bound_engle_granger,upper_bound_engle_granger,adf_output,rsquared_step2,coefficients_of_eps_t_1__step2
2012-11-29,0.8386780525715842,-9.442238202055155,7.159390277761138,-1.5229197952398623,15.841700350762139,0.0007532145634917384,0.4448541892774093,0.017038145670827093
2012-11-30,4.654265721040041,8.38776015590568,5.572625229329304,-3.11015580337231,14.255406262030919,0.0007924973211414878,0.4447626715958334,0.018255674935687305
2012-12-03,-0.6077977656713252,5.220169731978262,0.5403153942206398,-8.142229655408316,9.222860443849596,0.0007823321954170003,0.444788231717423,0.018410889645058305
2012-12-04,4.544118987763834,-0.962073128088963,1.3412921130918356,-7.3410255558568505,10.023609782040522,0.0007726080830267109,0.44478569642357824,0.018613823192404438
2012-12-05,-3.4023042902837197,4.582284816717004,-3.167453033149889,-11.849704776233228,5.514798709933449,0.0007264025291848248,0.4447882133177342,0.017989769506486494
2012-12-06,-5.558947140285042,9.311224069621764,-0.030554771983895224,-8.712556342800903,8.651446798833112,0.0007136992528878296,0.44480318818268505,0.018009221480761083
2012-12-07,5.404515313287117,-5.360117525956102,4.850136385040589,-3.8321659745399046,13.532438744621082,0.0007409652130088422,0.44477267118722175,0.01898560956625496
2012-12-10,0.12918671163806295,1.2584479867559129,-0.5788950032597939,-9.26095177525476,8.103161768735173,0.0007204482211509705,0.44480910720565725,0.01886400604439691
2012-12-11,-4.326766688656836,-3.144065787586777,-0.6448062461745434,-9.326620956285412,8.037008463936326,0.0006988691601302312,0.4448079567310813,0.018712006976475664
2012-12-12,-0.7140161725357252,-0.4271858358055498,3.2677322700813662,-5.414076171634539,11.94954071179727,0.0007124410253083582,0.44480098161272963,0.0193395187209396
2012-12-13,5.248133326619175,-7.848537748989405,3.3318048515817393,-5.3500388080283665,12.013648511191846,0.0007250999491969761,0.44476506119688264,0.02000705465096364
2012-12-14,-8.34819361041843,7.498567413727077,-1.8419158894019962,-10.523574795558197,6.8397430167542055,0.0006942176476330801,0.4447915926136087,0.019645812903942607
2012-12-17,4.970325909626183,-11.963484888156351,5.692344141308209,-2.9898285291011346,14.374516811717552,0.0007295399805133176,0.4447838421435032,0.020865299950784608
2012-12-18,7.254530759285949,-4.313767358001705,0.5222952355621961,-8.159635814143709,9.2042262852681,0.0007176730840364969,0.44481401689845323,0.020979481782569233
2012-12-19,0.754387422417846,2.359158540890083,-6.064927596153383,-14.74742631350318,2.6175711211964137,0.0006572224010088488,0.4447763800777895,0.019607804438580435
2012-12-20,-7.676681694298093,0.89191243460308,-5.97151311677942,-14.654600659838673,2.7115744262798334,0.0006084092819514143,0.4446696323171081,0.018182381959523666
2012-12-21,2.5832690560422478,-0.707866235193479,1.546294407360353,-7.136594611695848,10.229183426416554,0.000616733520404458,0.44473911331242244,0.01852031759314368
2012-12-24,-3.653254530017236,7.145222517012546,-1.1369261890101514,-9.819583613712084,7.545731235691782,0.0006081877093985324,0.4447450156323469,0.018277743723117516
2012-12-26,2.025955986042316,-5.120177055172476,2.1576979800755645,-6.524822792113341,10.84021875226447,0.0006208549675932762,0.4447477716749484,0.01878601226194094
2012-12-27,6.939416835531809,6.881713741402207,0.11214619193594233,-8.570123923310533,8.794416307182416,0.0006200764189244578,0.4447528575066886,0.018789658840294626
2012-12-28,-1.6973345682568919,5.1573707858848845,-5.858253638618175,-14.541114433101844,2.824607155865495,0.0005795739169620873,0.4447065449827615,0.01733419698003874
2012-12-31,-6.519860533342303,-9.022089567830754,-3.862685377908318,-12.545607758604234,4.820237002787597,0.0005606443799457086,0.44467037944906274,0.01644211536602904
2013-01-02,10.290534908582227,-6.414532377737995,2.3857824004060824,-6.2970164825383925,11.068581283350557,0.0005791874112017987,0.4447090916714914,0.0169718106573963
2013-01-03,-5.129060291985876,2.7680235715004606,-6.936112030088809,-15.619787669844099,1.7475636096664804,0.0005389719602830534,0.4447000573100379,0.015328371488724278
2013-01-04,3.202468108644574,-1.1757733543431828,-1.4591815797404184,-10.142665182517215,7.224302023036378,0.0005359526633582405,0.4447266353667356,0.014940999126101992
2013-01-07,-9.881399619251319,7.22797618272732,-4.196280759199614,-12.879905479685995,4.487343961286768,0.0005194261097066378,0.4446894297058491,0.013984537743872446
2013-01-08,6.477280718676237,-14.277370697007289,5.372074491285287,-3.3118823021674304,14.056031284738005,0.0005564312182387158,0.4447408258191846,0.015100474769141132
2013-01-09,6.555743379356027,7.204640489665562,-1.1130667513572945,-9.796794656384996,7.570661153670407,0.0005517407120080335,0.44479137946489,0.014872331770045556
2013-01-10,-2.285113626279678,7.235416815256508,-6.970919229679929,-15.655456522298156,1.7136180629382984,0.0005149905008437523,0.4447104588536943,0.013389756906364562
2013-01-11,1.4236003370763584,2.070933924264515,-4.23026241208434,-12.91494446553536,4.45441964136668,0.0005003648239981716,0.4446667140218624,0.012457670188062117
2013-01-14,-7.860564974201978,-4.796193541601603,-4.849643127115998,-13.534650253364621,3.8353639991326247,0.00048504675217584856,0.44459554869407314,0.011326702639446042
2013-01-15,-0.11541966832222528,-4.865669594387785,2.4838727706387225,-6.2010467913456235,11.168792332623068,0.0005090890553792519,0.4446544608884889,0.011904881815247202
2013-01-16,6.8046351509652325,-6.693492614672925,2.843633393450247,-5.8411569932983465,11.52842378019884,0.0005320407890342197,0.4446389196068685,0.012387132671323495
2013-01-17,-0.9010737666931057,10.687265294295681,-3.5179096958801424,-12.2027318709217,5.1669124791614145,0.0005158210962131743,0.44466168416138974,0.011621920829412762
2013-01-18,-1.903573323325336,4.407734822522902,-2.4200988577666127,-11.104793548257872,6.2645958327246465,0.0005083305950003576,0.4446470097102203,0.011107845692669404
2013-01-22,4.090264943692112,-5.248500547728302,-0.7926981330845777,-9.477146803712401,7.8917505375432455,0.0005150921262154438,0.4446511723610529,0.01098573336153535
2013-01-23,-6.947981036059403,10.180333658921041,-4.084884503862446,-12.769512085067134,4.599743077342243,0.0004961315234327931,0.44461738187378796,0.009974106037022668
2013-01-24,4.8255856785894835,-14.811162072389054,2.432712590675135,-6.2518119110559764,11.117237092406246,0.0005194030797359278,0.4446608735266565,0.010509430390466744
2013-01-25,-6.681353279697166,10.318611974262428,-2.1359305960179564,-10.820307492763718,6.548446300727804,0.0005137871106071434,0.44467720028399704,0.01003429401886409
2013-01-28,1.6326843585272144,0.5046958424062371,3.9877641337425223,-4.696734278823661,12.672262546308705,0.0005463693283681909,0.44468727999657187,0.010888225675486855
2013-01-29,3.2749921524484193,3.360217502390456,2.1804261254691824,-6.5039214664063,10.864773717344665,0.0005626835221780287,0.4446778038813495,0.011316765553149595
